Time,std
0:00:00,0.018
1:00:00,0.028
2:00:00,0.059
3:00:00,0.093
4:00:00,0.151
5:00:00,0.258
6:00:00,0.403
7:00:00,0.559
8:00:00,0.703
9:00:00,0.833
10:00:00,0.938
11:00:00,1.009
12:00:00,1.025
13:00:00,1.069
14:00:00,1.071
15:00:00,1.084
16:00:00,1.09
17:00:00,1.094
18:00:00,1.103
19:00:00,1.11
20:00:00,1.098
21:00:00,1.113
22:00:00,1.093
23:00:00,1.103
